ID,Team,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Arizona,69,68.5,80.9,78.7,83.4,98.9,92.6,60.5,73.9,63.1,83.9,89.2
2,Atlanta,58.7,72.7,76.6,75.2,78.2,86.5,80.4,89.8,89.8,99.8,89.5,91.9
3,Baltimore,64.1,70.7,71.3,82.8,75.2,78.1,83.5,93.2,83.2,90.5,72,92.6
4,Buffalo,69.4,76.8,75.4,84.6,73.8,81.3,71.7,75.2,77,82.2,75,90.6
5,Carolina,84.3,87,87.1,77.9,71.9,79.6,70.5,57,84.8,86.5,88.5,85.4
6,Chicago,61,61.7,60.8,73.4,72.2,77.1,75.6,77.8,73.8,80.4,96.9,92
7,Cincinnati,87.5,77,95.5,94.1,86.7,68,81,82.4,77.5,85.8,87.3,84.4
8,Cleveland,75.2,74.9,74.6,69.8,80.7,54.8,55.8,75,72.8,73.5,75.8,81.9
9,Dallas,70.3,74.5,83.6,86.6,95.1,84.9,96.2,90.4,100.1,91.3,95.7,106.8
10,Denver,75.5,85.5,87.1,74.7,86.7,85.9,84.4,86.8,75.1,104.2,111.2,108.6
11,Detroit,61.1,76.7,69.1,79.9,79.4,71.3,58.1,82,97.2,81.5,84.2,81.3
12,Green Bay,90.8,91.1,70.2,72.1,96.2,93.3,103.3,101.1,119.2,107.1,92,115.5
13,Houston,69.7,83.1,76,83.8,86.1,88.4,96.3,92,88.6,89,74,82.8
14,Indianapolis,100,118.3,102.4,94.3,96.2,94.4,96.1,92.5,72.2,75,85.2,99.1
15,Jacksonville,75.1,80.7,86.5,80,95.1,81.4,83.2,83.4,62.2,74.7,71.8,72.8
16,Kansas City,92.4,94.9,90.1,82.9,73,77.3,70.8,86.4,73,63.8,91,92.7
17,Miami,72.5,62.5,72.8,71.2,69.6,94.2,73.3,74.8,84.9,76.7,80.1,92.9
18,Minnesota,99,107.6,81.7,72.2,74.2,78.9,106.2,67.7,74.6,79.7,76,70.3
19,New England,84.3,94.9,91.6,86.2,112.9,89.1,92.5,108.1,104.9,96,87.3,102.1
20,New Orleans,88.7,79.5,66.6,94.1,89.4,95.4,107.7,91.2,110.4,96.4,102.2,98.1
21,NY Giants,68.4,73.5,73.4,77.3,77.1,85.6,93.2,85.3,95.1,87.2,67.6,88.4
22,NY Jets,85.8,90.5,70.6,81.9,73.9,80.2,67,79.2,78.4,68.3,66.6,67.4
23,Oakland,64.9,76.1,75.2,56.2,70.9,71.6,62,77.5,79.4,82.4,74,74.5
24,Philadelphia,77.2,96,71.5,95.3,84.6,81.7,91.5,91.3,78.3,78.6,102.8,83
25,Pittsburgh,76.4,89,92.5,80.2,98.1,83.2,98.1,92.2,88.7,88.1,92.4,106.4
26,San Diego,73.1,101.9,89.7,90.6,82.2,102.7,101.2,101.9,88.7,88.5,106.3,100.7
27,San Francisco,84,69.9,53.6,74.4,63.4,81.4,80.8,79.4,92.7,101.7,88.5,91.9
28,Seattle,86.6,80.2,94.6,75.1,90.3,72.5,76.7,76,77.6,100.8,102,93.2
29,St Louis,79.1,87.2,83,92.7,67,66.9,64,76.5,69,82.7,84.8,82.6
30,Tampa Bay,81.5,89.1,79,66.2,89.4,83.8,59.8,96.2,73.6,81.8,79.6,80.5
31,Tennessee,97.6,82.1,80.3,61.8,71.5,78.2,74.8,82.6,84.4,76.9,83.6,85.1
32,Washington,73.4,70,85,83.4,82.9,85.2,85.5,78,73.3,99.8,76.1,89.1
